Direccion,Precio,UF,m2_Construidos,m2_totales,Habitaciones,Banos,Estacionamientos,Publi
"Santiago, Carmen 159",114000000,3273.698,100,100,3,2,0,21/03/2023
"Las Condes, Av. Manquehue Nte. 69",156703500,4500.0,45,45,1,1,1,20/03/2023
"Quinta Normal, Gral. Barbosa 1149",75000000,2153.749,37,37,1,1,0,20/03/2023
"La Florida, Pudeto, La Florida",65815470,1890.0,31,31,1,1,0,20/03/2023
"Ñuñoa, Matta Ote. 849",182820750,5250.0,74,74,2,2,1,20/03/2023
"Estación Central, Avenida Padre Alberto Hurtado",75000000,2153.749,62,62,3,2,0,20/03/2023
"San Joaquín, Sta. Rosa 2648",66163700,1900.0,46,46,2,1,0,20/03/2023
"Las Condes, C. San José de La Sierra 93",170632700,4900.0,0,0,1,1,0,19/03/2023
"Ñuñoa, José Domingo Cañas 1727",244805690,7030.0,110,110,3,2,1,19/03/2023
"Cerrillos, Folklore Chileno 2227",38061539,1093.0,42,42,2,1,0,19/03/2023
"San Bernardo, María Graham",35000000,1005.083,45,45,2,1,0,18/03/2023
"La Florida, San José de la Estrella",70000000,2010.166,54,54,3,1,0,18/03/2023
"Independencia, Colón",80000000,2297.332,43,43,3,1,0,18/03/2023
"Recoleta, Gabriel Palma",90000000,2584.499,53,53,3,1,0,18/03/2023
"La Florida, Atahualpa 235",134068550,3850.0,80,80,3,2,1,18/03/2023
"Ñuñoa, Metro Irarrázaval",173766770,4990.0,0,0,3,2,1,17/03/2023
"Cerrillos, Cerrillos",55000000,1579.416,60,60,2,1,0,17/03/2023
"Santiago, Cóndor 1107",69646000,2000.0,36,36,1,1,0,17/03/2023
"Recoleta, Alberto Figueroa 440",135809700,3900.0,60,60,3,2,1,17/03/2023
"Santiago, Amunátegui 695",107951300,3100.0,58,58,2,2,0,17/03/2023
"Independencia, Nueva Andrés Bello 1890",66163700,1900.0,31,31,1,1,0,17/03/2023
"Santiago, Herrera 1127",80092900,2300.0,75,75,3,1,0,17/03/2023
"San Miguel, C. San Ignacio de Loyola 4850",161926950,4650.0,73,73,3,2,1,17/03/2023
"San Miguel, Quinta Avenida 1270",115000000,3302.415,57,57,2,2,0,17/03/2023
"Ñuñoa, Av. Grecia 4401",215000000,6174.08,83,83,3,2,1,17/03/2023
"Ñuñoa, Fernández Concha 270",168996019,4853.0,71,71,3,2,1,17/03/2023
"Santiago, Merced 356",80092900,2300.0,34,34,1,1,0,16/03/2023
"Providencia, Bustos",260824270,7490.0,83,83,2,2,1,16/03/2023
"Santiago, Eleuterio Ramírez 825",149738900,4300.0,50,50,2,2,1,16/03/2023
"Ñuñoa, Brown norte 609",170632700,4900.0,60,60,2,2,0,16/03/2023
"Providencia, Padre Restrepo 2667",205455700,5900.0,66,66,2,2,1,16/03/2023
"Santiago, Echaurren 340",161578720,4640.0,74,74,3,2,1,15/03/2023
"Vitacura, Autop. Av. Pdte. Kennedy 4938",201973400,5800.0,55,55,2,2,1,15/03/2023
"San Miguel, Milán , San Miguel",104469000,3000.0,48,48,1,2,1,15/03/2023
"Santiago, Lord Cochrane 635",60000000,1722.999,30,30,1,1,0,15/03/2023
"El Bosque, Pje. Nuevo Horizonte 1001",36000000,1033.8,48,48,2,1,0,14/03/2023
"Las Condes, Nansen",14300,0.411,163,163,3,3,1,14/03/2023
"Pudahuel, Condominio Villa Del Sol - Etapa 1",118000000,3388.565,76,76,3,2,1,14/03/2023
"Macul, Avenida Américo Vespucio",103000000,2957.815,60,60,2,2,2,14/03/2023
"Providencia, Galvarino Gallardo",383053000,11000.0,131,131,4,3,1,14/03/2023
"La Cisterna, Gran Avenida metro El Parrón",123099305,3535.0,80,80,3,1,1,14/03/2023
"Ñuñoa, Salvador Sur, Grecia",155000000,4451.081,95,95,3,2,0,14/03/2023
"Las Condes, La Niña 3020",261172500,7500.0,95,95,2,2,2,13/03/2023
"Las Condes, Av. Cristóbal Colón 5010",295000000,8471.413,112,112,3,2,1,13/03/2023
"Huechuraba, Alberto Undurraga",264654800,7600.0,140,140,3,3,1,13/03/2023
"Ñuñoa, José Domingo Cañas",139000000,3991.615,56,56,2,1,1,13/03/2023
"Quinta Normal, Andes 4446",60000000,1722.999,46,46,2,1,0,13/03/2023
"Santiago, Catedral 1350",156703500,4500.0,85,85,2,2,1,13/03/2023
"San Miguel, Segunda Avenida 1179",137550850,3950.0,76,76,3,2,1,12/03/2023
"La Reina, Blest gana",207196850,5950.0,64,64,2,2,1,12/03/2023
"La Florida, Av. Vicuña Mackenna Ote. 6187",116657050,3350.0,60,60,2,2,1,11/03/2023
"Independencia, Carlos Medina",78351750,2250.0,60,60,5,1,0,11/03/2023
"Vitacura, Portada de Vitacura vista cordillera",195008800,5600.0,85,85,1,1,1,11/03/2023
"Macul, Los olmos",115000000,3302.415,54,54,2,2,1,10/03/2023
"Maipú, Avenida Segunda Transversal",82000000,2354.766,45,45,3,1,1,10/03/2023
"Independencia, gamero",77000000,2211.182,54,54,2,1,0,10/03/2023
"Ñuñoa, Crescente Errazuriz",167150400,4800.0,69,69,2,2,1,10/03/2023
"Santiago, Rosas & Amunátegui",78351750,2250.0,31,31,1,1,0,10/03/2023
"Santiago, Lira & Argomedo",87057500,2500.0,38,38,1,1,0,10/03/2023
"La Cisterna, Av. Goycolea 496",70000000,2010.166,49,49,3,1,0,10/03/2023
"Ñuñoa, José Domingo Cañas",203714550,5850.0,75,75,2,2,2,07/03/2023
"Santiago, Huérfanos 1400",121358155,3485.0,70,70,3,2,1,06/03/2023
"La Florida, Maria Elena 1275",49000000,1407.116,50,50,2,1,0,06/03/2023
"Maipú, Dinamarca 1557",60000000,1722.999,45,45,2,1,0,06/03/2023
"Santiago, Av. Manuel Rodríguez 867",77307060,2220.0,35,35,1,1,1,06/03/2023
"Santiago, Conde del Maule 4603, 9170357 Santiago, Estación Central, Región Metropolitana",58641016,1683.974,24,24,1,1,1,05/03/2023
"Providencia, Tobalaba 4191",226389863,6501.159,64,64,2,2,1,05/03/2023
"Recoleta, Los Flamencos",68000000,1952.732,56,56,3,1,1,05/03/2023
"Recoleta, Los Flamencos",68000000,1952.732,56,56,3,1,0,05/03/2023
"Santiago, Avenida vicuña mackenna",95763250,2750.0,46,46,2,1,0,04/03/2023
"Peñalolén, Alvaro Casanova Poniente",522345000,15000.0,289,289,4,4,2,03/03/2023
"Ñuñoa, Dublé Almeyda",212420300,6100.0,95,95,2,2,1,03/03/2023
"Ñuñoa, Avenida Irarrázaval",187695970,5390.0,52,52,2,2,1,03/03/2023
"Santiago, Lord Cochrane",120000000,3445.998,0,0,3,2,0,03/03/2023
"Santiago, Ramón Corvalán Melgarejo",103000000,2957.815,0,0,2,1,0,03/03/2023
"Santiago, Lord Cochrane",102832319,2953.0,0,0,2,2,0,03/03/2023
"Santiago, Morandé 626",87057500,2500.0,35,35,1,1,0,02/03/2023
"Vitacura, Joaquín Cerda",494486600,14200.0,180,180,4,4,2,02/03/2023
"Ñuñoa, Av. Salvador 2940",228090650,6550.0,105,105,4,3,1,02/03/2023
"La Florida, Colombia 7000",94000000,2699.365,60,60,2,1,1,02/03/2023
"Ñuñoa, Teniente Montt",229831800,6600.0,72,72,2,2,1,02/03/2023
"Santiago, Pdte. Balmaceda 2088",65000000,1866.582,36,36,1,1,0,02/03/2023
"Providencia, Av. Condell 1807",194660570,5590.0,76,76,2,2,1,01/03/2023
"San Joaquín, Avenida Santa Rosa",64000000,1837.866,44,44,2,1,0,01/03/2023
"Santiago, Catedral",100986700,2900.0,48,48,1,1,0,01/03/2023
"Santiago, Manuel Antonio Tocornal",142774300,4100.0,71,71,3,2,1,01/03/2023
"Las Condes, Mar del Sur 1117",358676900,10300.0,147,147,4,3,1,28/02/2023
"Ñuñoa, San Eugenio 1551",132327400,3800.0,52,52,2,2,1,28/02/2023
"Santiago, Santo Domingo 4047",102727850,2950.0,54,54,2,2,0,28/02/2023
"Santiago, Av. Rondizzoni 1856",90191570,2590.0,60,60,2,2,0,28/02/2023
"Santiago, Sta. Elena 898",77307060,2220.0,34,34,1,1,0,27/02/2023
"Santiago, Estación Central",76610600,2200.0,35,35,1,1,0,26/02/2023
"Recoleta, Diagonal José María Caro",119000000,3417.282,75,75,3,2,0,25/02/2023
"Quinta Normal, Radal 1225, Blanqueado, Quinta Normal",78751280,2261.473,43,43,2,1,1,25/02/2023
"Santiago, Santo Domingo - Teatinos",115000000,3302.415,61,61,2,2,1,24/02/2023
"La Reina, Blest gana",219384900,6300.0,70,70,2,2,1,24/02/2023
"Quinta Normal, Radal 1225, Blanqueado, Quinta Normal",84754740,2433.872,53,53,3,1,1,24/02/2023
"Independencia, Padre José Cifuentes Grez 864",67904850,1950.0,32,32,1,1,0,24/02/2023
"Conchalí, Vecinal 1636",56637914,1626.451,30,30,1,1,1,24/02/2023
"Macul, Av. Escuela Agrícola 1710",81485820,2340.0,39,39,1,1,0,24/02/2023
"Providencia, Av. Los Leones, Providencia, Región Metropolitana, Chile",393499900,11300.0,192,192,4,3,2,22/02/2023
"Quilicura, Parroquia Jesús Obrero 527",45000000,1292.249,46,46,3,1,0,21/02/2023
"Vitacura, Portada de Vitacura vista cordillera",195008800,5600.0,85,85,1,1,1,21/02/2023
"San Miguel, El Llano terraza privada",347881770,9990.0,175,175,3,2,2,21/02/2023
"Santiago, Santiago",88000000,2527.065,55,55,2,1,0,21/02/2023
"Providencia, Av. Ricardo Lyon 2107",330818500,9500.0,84,84,2,2,0,21/02/2023
"San Miguel, Av. Salesianos 1160",111085370,3190.0,40,40,1,1,0,20/02/2023
"Ñuñoa, Julio Prado",181079600,5200.0,71,71,2,2,1,20/02/2023
"Santiago, Raulí 596",81137590,2330.0,34,34,1,1,0,20/02/2023
"Las Condes, Rodrigo de Triana 4333",344747700,9900.0,130,130,3,3,1,19/02/2023
"Estación Central, Cercano a Metro Pajaritos",95000000,2728.082,44,44,2,1,0,17/02/2023
"San Miguel, Cercano a Av. José miguel carrera",170632700,4900.0,75,75,3,2,1,17/02/2023
"Quilicura, A pasos de Lo Marcoleta y Supermercado",68000000,1952.732,60,60,2,2,0,16/02/2023
"Santiago, Entre San Pablo y Gral. Mackenna",112500000,3230.623,62,62,2,2,0,16/02/2023
"Quinta Normal, Mapocho // Radal",55020340,1580.0,50,50,3,1,0,16/02/2023
"Providencia, Rancagua//seminario",2089380000,60000.0,1200,1200,10,5,11,16/02/2023
"San Miguel, Los Castaños, San Miguel, Region Metropolitana",89000000,2555.782,35,35,1,1,1,16/02/2023
"San Miguel, Alcalde Pedro Alarcón 851",146256600,4200.0,74,74,3,2,1,15/02/2023
"Santiago, Coquimbo 56",92280950,2650.0,48,48,3,1,0,15/02/2023
"Santiago, Bezanilla",100000000,2871.665,50,50,2,1,1,15/02/2023
"Santiago, Santo Domingo 1243",53975650,1550.0,0,0,1,1,0,14/02/2023
"Estación Central, Sta. Petronila 28",78351750,2250.0,35,35,1,1,0,14/02/2023
"Santiago, Carmen 390",69646000,2000.0,28,28,1,1,0,12/02/2023
"La Cisterna, Colón 6479, metro Lo Ovalle",70000000,2010.166,50,50,3,1,0,10/02/2023
"Santiago, Lord Cochrane 209, Santiago, Chile sin comisión",85000000,2440.915,37,37,1,1,1,10/02/2023
"Ñuñoa, Av. Sucre con Manuel Montt",181079600,5200.0,57,57,2,2,1,10/02/2023
"Ñuñoa, Sucre con Manuel Montt",195008800,5600.0,67,67,2,2,1,10/02/2023
"La Cisterna, Gran Avenida, metro el Parrón",123099305,3535.0,80,80,3,1,1,10/02/2023
"Las Condes, Brasilia 750",449216700,12900.0,173,173,4,3,2,07/02/2023
"Ñuñoa, Av. Irarrázaval 2150",118398200,3400.0,40,40,1,1,0,01/02/2023
"El Bosque, General Körner",78900000,2265.744,55,55,3,1,1,01/02/2023
"Vitacura, Vía aurora",881021900,25300.0,253,253,4,4,4,31/01/2023
"Santiago, Amunátegui 890",74869450,2150.0,34,34,1,1,0,31/01/2023
"Providencia, Pedro de Valdivia",84585067,2429.0,32,32,1,1,0,30/01/2023
"Estación Central, Conde del Maule",82878740,2380.0,38,38,1,1,1,28/01/2023
"Providencia, Doctor Roberto del Río",316889300,9100.0,120,120,3,2,1,26/01/2023
"Santiago, San Antonio 418",200000000,5743.331,110,110,3,2,0,24/01/2023
"San Miguel, Berlín 843",107603070,3090.0,59,59,2,1,1,23/01/2023
"Santiago, Diagonal Vicuña Mackenna",97990000,2813.945,34,34,1,1,1,20/01/2023
"Independencia, Gamero",80092900,2300.0,54,54,3,1,1,20/01/2023
"San Miguel, Arcangel 1211",268137100,7700.0,143,143,3,3,2,19/01/2023
"Santiago, Amunátegui 620",69297770,1990.0,35,35,1,1,0,18/01/2023
"San Miguel, Berlín 843",76262370,2190.0,38,38,2,1,0,17/01/2023
"Santiago, Huerfanos 1400",147997750,4250.0,70,70,3,2,1,12/01/2023
"Santiago, Santo Domingo 1450",113174750,3250.0,60,60,1,1,1,12/01/2023
"Ñuñoa, Cauquenes 146",153221200,4400.0,65,65,2,2,1,12/01/2023
"Independencia, Baldomero Flores",75000000,2153.749,100,100,2,1,0,12/01/2023
"San Miguel, Av. Lo Ovalle 1231",70000000,2010.166,40,40,2,1,0,11/01/2023
"Santiago, San pablo 1353",146256600,4200.0,90,90,3,2,1,09/01/2023
"La Florida, Calle nueva 120 la florida",134068550,3850.0,70,70,3,2,1,08/01/2023
"Ñuñoa, Doctor Johow",170284470,4890.0,70,70,2,2,1,05/01/2023
"La Florida, Cam. del Monte 6150",208938000,6000.0,105,105,3,2,1,05/01/2023
"Ñuñoa, José Domingo Cañas",208589770,5990.0,76,76,2,2,2,04/01/2023
"Ñuñoa, Carrera Pinto 1920",198491100,5700.0,97,97,3,2,1,31/12/2022
"Santiago, Lord Cochrane",59199100,1700.0,28,28,1,1,0,30/12/2022
"Vitacura, Avenida San Josemaría Escrivá de Balaguer",320371600,9200.0,110,110,3,3,2,26/12/2022
"Huechuraba, Av. del Parque",208938000,6000.0,85,85,2,2,1,26/12/2022
"Santiago, Santo Domingo 1345",174115000,5000.0,82,82,2,2,1,22/12/2022
"Santiago, Av. Vicuña Mackenna 1231",57457950,1650.0,31,31,1,1,0,22/12/2022
"La Florida, Av. Vicuña Mackenna Pte. 6837",160000000,4594.664,79,79,3,2,0,21/12/2022
"Peñalolén, El Continente 7445",64000000,1837.866,52,52,3,1,0,19/12/2022
"Santiago, Nataniel Cox 1439",77000000,2211.182,52,52,3,1,0,19/12/2022
"Recoleta, Bellavista 165",98897320,2840.0,48,48,2,2,0,03/12/2022
"Puente Alto, Arco iris",34000000,976.366,0,0,3,1,0,25/11/2022
"Ñuñoa, Sócrates 1190",136900000,3931.31,87,87,3,2,1,22/11/2022
"San Joaquín, Av. Vicuña Mackenna 2935",170632700,4900.0,50,50,2,2,1,21/11/2022
"Santiago, Mapocho 1522",52500000,1507.624,35,35,1,1,0,18/11/2022
"Santiago, Pdte. Balmaceda 2914",44500000,1277.891,24,24,1,1,0,18/11/2022
"Las Condes, Alcántara 1750",168891550,4850.0,60,60,2,1,1,08/11/2022
"Santiago, Vicuna Mackenna",78943741,2267.0,52,52,2,1,0,26/10/2022
"Providencia, Av. Providencia",135113240,3880.0,45,45,1,1,0,09/10/2022
"Providencia, Román díaz",201973400,5800.0,72,72,2,2,1,02/10/2022
"San Joaquín, Vicuña Mackenna & Celia Solar",113174750,3250.0,54,54,3,2,0,24/09/2022
"Independencia, Colón 1265",53000000,1521.983,35,35,1,1,0,22/09/2022
"Ñuñoa, Av. Echeñique 5420",135809700,3900.0,38,38,1,1,0,30/08/2022
"Maipú, Teatro Ópera & Claudio Arrau",56500000,1622.491,49,49,2,1,1,24/08/2022
"Macul, Mall Paseo Quilín",130000000,3733.165,62,62,3,2,1,01/08/2022
"Santiago, Cóndor 1043",73128300,2100.0,30,30,1,1,0,01/08/2022
"Ñuñoa, Av. Echeñique 5460",137550850,3950.0,49,49,1,1,0,23/07/2022
"Macul, Siria 3396",139292000,4000.0,62,62,3,2,1,11/07/2022
"San Miguel, Berlín 927",90539800,2600.0,35,35,1,1,1,07/07/2022
"Santiago, Tenderini 26",104000000,2986.532,66,66,3,2,0,22/05/2022
"Santiago, Lira 526",118398200,3400.0,58,58,2,2,1,19/05/2022
"Santiago, Pje. Nueva Compañia 425",120000000,3445.998,75,75,2,1,0,06/05/2022
"San Joaquín, Vicuña Mackenna 2585",111433600,3200.0,63,63,3,2,1,28/04/2022
"Providencia, Huáscar",330818500,9500.0,135,135,4,3,2,23/04/2022
"Providencia, C34406 - Venta Departamento Metro Ines de Suarez - 3D2B2E1BoEscritorio",271619400,7800.0,104,104,3,2,2,22/03/2023
"Providencia, C34405 - Venta Departamento Costanera Metro Colon Los Leones - 2D2B1E1Bo",201973400,5800.0,73,73,2,2,1,22/03/2023
"La Florida, A34398 - Venta Departamento G. de Alderete - 3D1B1E",118398200,3400.0,70,70,3,1,1,22/03/2023
"Santiago, A34397 - Venta Departamento San Martín Santiago - 2D1B",69300000,1990.064,40,40,2,1,0,22/03/2023
"Providencia, C34394 - Venta Departamento Pedro de Valdivia - 2D2B1E",198491100,5700.0,62,62,2,2,1,22/03/2023
"Santiago, A34392 - Arriendo o Venta Departamento Santiago - 1D1B1E1Bo",113174750,3250.0,44,44,1,1,1,22/03/2023
"San Miguel, Depto 3 dorm/1 baño. San petersburgo metro ciudad del niño",75914140,2180.0,50,50,3,1,0,22/03/2023
"San Miguel, Milán con Barcelona EXCELENTE 2 dorm 2 baños estacionamiento y bodega",125000000,3589.582,70,70,2,2,1,22/03/2023
"Las Condes, C34382 - 02-arriendo o venta departamento amoblado - c. Colorado - 2d2b1e",393499900,11300.0,0,0,2,2,0,22/03/2023
"Santiago, C34375 - 106-Venta Departamento Portal Fernandez Concha - 1D1B",50493350,1450.0,24,24,1,1,0,22/03/2023
"Santiago, C34374 - 106-Venta Departamento Portal Fernandez Concha - 1D1B",43528750,1250.0,24,24,1,1,0,22/03/2023
"Santiago, C34264 - 103-venta hostal santiago centro - 5d8b1bo",557168000,16000.0,400,400,5,8,0,22/03/2023
"Santiago, C34362 - 105-Venta Departamento Portal Fernandez Concha - 1D1B",81834050,2350.0,40,40,1,1,0,22/03/2023
"Santiago, C34361 - 106-Venta Departamento Portal Fernandez Concha - 1D1B",43528750,1250.0,24,24,1,1,0,22/03/2023
"Santiago, C34360 - 104-Venta Departamento Portal Fernandez Concha - 2D2B",104469000,3000.0,74,74,2,2,0,22/03/2023
"Ñuñoa, Sucre 3174",219384900,6300.0,67,67,2,2,1,22/03/2023
"Las Condes, Vespucio Sur - Colon",309924700,8900.0,100,100,3,2,1,22/03/2023
"Estación Central, Blanco garces 50",66163700,1900.0,0,0,1,1,0,22/03/2023
"Santiago, Diagonal paraguay 474",159663455,4585.0,134,134,5,3,0,22/03/2023
"Santiago, Herrera esquina Mapocho",78351750,2250.0,47,47,3,1,1,22/03/2023
"Las Condes, Camino San Antonio",227220075,6525.0,58,58,1,1,1,22/03/2023
"Providencia, El Vergel / Holanda",410911400,11800.0,115,115,3,2,2,22/03/2023
"Providencia, Lota, Hernándo de Aguirre",429000000,12319.444,230,230,4,3,3,22/03/2023
"Santiago, Sta. Isabel/Marín",139292000,4000.0,47,47,2,2,0,22/03/2023
"Quinta Normal, Calle Compañia",76332016,2192.0,0,0,2,1,0,22/03/2023
"Maipú, Av américo vespucio / el descanso",114915900,3300.0,52,52,3,2,1,22/03/2023
"Providencia, Manuel Montt",139292000,4000.0,44,44,1,1,0,22/03/2023
"Lo Barnechea, robles",344747700,9900.0,40,40,2,2,2,22/03/2023
"Lo Barnechea, el tranque",435287500,12500.0,151,151,4,3,2,22/03/2023
"Macul, Se vende hermoso dpto en los olmos 3256",159489340,4580.0,81,81,3,2,0,22/03/2023
"Maipú, San alberto hurtado 590 maipu",114915900,3300.0,65,65,2,2,2,22/03/2023
"Las Condes, Santa Adriana/Vaticano",255000000,7322.746,104,104,2,2,1,22/03/2023
"Santiago, Argomedo 459",129541560,3720.0,59,59,2,2,1,22/03/2023
"Ñuñoa, Miguel León Prado/Victoria",103702894,2978.0,44,44,2,1,0,22/03/2023
"Santiago, Toesca/Av. España",94544445,2715.0,37,37,1,1,0,22/03/2023
"Santiago, Gral. Jofré/Marín",93151525,2675.0,30,30,1,1,0,22/03/2023
"Santiago, San Martín/Amunátegui",90922853,2611.0,31,31,1,1,1,22/03/2023
"Santiago, Abate Molina/Av. España",98862497,2839.0,41,41,1,1,0,22/03/2023
"La Cisterna, Gran Avda. José Miguel Carrera/Trinidad Ramirez",75914140,2180.0,35,35,1,1,1,22/03/2023
"La Florida, Av. Vicuña Mackenna/Barcelona",81834050,2350.0,47,47,2,1,0,22/03/2023
"Providencia, Barrio Las Lilas",464086121,13327.0,114,114,3,3,2,22/03/2023
"Las Condes, Precioso dpto-casa con jardin propio manquehue/ cabildo",449216700,12900.0,293,293,5,4,2,22/03/2023
"Las Condes, Departamento Mariposa Metro Hernnado de Magallanes",243761000,7000.0,62,62,2,2,0,22/03/2023
"Quilicura, Depto en condominio cerrado cercano a Lider Lo Marcoleta de 3 dormitorios// Quilicura",75000000,2153.749,53,53,3,1,0,22/03/2023
"Vitacura, Luis carrera",300000000,8614.996,90,90,2,2,1,22/03/2023
"Estación Central, Av maria rozas velasquez",69646000,2000.0,34,34,2,1,0,22/03/2023
"Santiago, Av Rondizzoni/ Capitán Wood",84619890,2430.0,31,31,1,1,0,22/03/2023
"Ñuñoa, Avenida Ossa, Ñuñoa",226349500,6500.0,85,85,2,2,1,22/03/2023
"Vitacura, A. Cordova, kennedy, las nieves",417876000,12000.0,205,205,3,3,1,22/03/2023
"Ñuñoa, Av. Sucre 2362",242368080,6960.0,68,68,2,2,1,22/03/2023
"Santiago, Alonso de Cordova / Presidente Riesco",334300800,9600.0,105,105,3,2,2,22/03/2023
"Santiago, Manquehue / Los Militares",168000000,4824.398,40,40,1,1,1,22/03/2023
"Santiago, Calle San Martín 873",102727850,2950.0,62,62,2,2,1,22/03/2023
"Santiago, Mapocho- maipú tt",102727850,2950.0,45,45,2,1,0,22/03/2023
"Santiago, Dr. Ramón Corvalan-Metro Baquedano TT",80092900,2300.0,35,35,1,1,0,22/03/2023
"Independencia, Independencia, Región Metropolitana",60696489,1743.0,27,27,1,1,0,22/03/2023
"Las Condes, Visviri",278235770,7990.0,90,90,3,2,1,22/03/2023
"Pudahuel, Avenida diagonal teniente cruz 555",90000000,2584.499,49,49,2,1,1,22/03/2023
"Las Condes, Napoleon / enrique foster",365641500,10500.0,153,153,3,3,0,22/03/2023
"Quilicura, los alamos quilicura",54900000,1576.544,60,60,2,1,1,22/03/2023
"Santiago, Tarapacá - Serrano",73128300,2100.0,36,36,1,1,0,22/03/2023
"Santiago, Eleuterio Ramirez - San Francisco",114915900,3300.0,50,50,2,2,1,22/03/2023
"Vitacura, Tabancura-kennedy lateral",254207900,7300.0,95,95,3,2,1,22/03/2023
"Ñuñoa, Palqui",198491100,5700.0,85,85,3,2,1,22/03/2023
"Providencia, Galvarino gallardo 1550",240278700,6900.0,85,85,2,2,1,22/03/2023
"Santiago, vicuña mackenna 1500",90539800,2600.0,40,40,1,1,0,22/03/2023
"Lo Barnechea, Lider Puente Nuevo",261172500,7500.0,105,105,3,2,0,22/03/2023
"Recoleta, Santos Dumont 867",88000000,2527.065,60,60,3,1,1,22/03/2023
"Las Condes, Las tranqueras / las condes",261102854,7498.0,80,80,2,2,0,22/03/2023
"Santiago, San Francisco",70000000,2010.166,37,37,1,1,0,22/03/2023
"Talagante, Av. Bernardo O'Higgins",55000000,1579.416,48,48,3,1,0,22/03/2023
"Las Condes, Frente al Parque Arauco",435287500,12500.0,190,190,3,2,2,22/03/2023
"Ñuñoa, Teniente Mont 1901",142774300,4100.0,44,44,1,1,0,22/03/2023
"Providencia, Galvarino gallardo 1600",240278700,6900.0,85,85,2,2,1,22/03/2023
"Las Condes, SP Penthouse Vista despejada colegios San Ignacio - Villa Ma",518862700,14900.0,217,217,4,4,2,22/03/2023
"Quinta Normal, Matucana / mapocho",66163700,1900.0,50,50,3,1,0,22/03/2023
"Santiago, Metro Bellas Artes",113174750,3250.0,48,48,2,2,0,22/03/2023
"Ñuñoa, Julio Prado con Av. Sucre",185258360,5320.0,52,52,2,2,1,22/03/2023
"Las Condes, Colon cercano a acantara",510156950,14650.0,152,152,3,3,2,22/03/2023
"Maipú, Conquistador",39000000,1119.949,48,48,3,1,1,22/03/2023
"Providencia, Metro Santa Isabel",156703500,4500.0,65,65,2,1,0,22/03/2023
"Santiago, San Francisco 294",80092900,2300.0,40,40,2,1,0,22/03/2023
"Santiago, Mapocho con san martin",93000000,2670.649,48,48,2,2,1,22/03/2023
"Santiago, Apoquindo con noruega",521996770,14990.0,180,180,3,1,2,22/03/2023
"Santiago, Cuarta Avenida 1175",69646000,2000.0,22,22,1,1,0,22/03/2023
"Providencia, Mar del plata  2110",295995500,8500.0,90,90,2,2,1,22/03/2023
"La Florida, Jardin alto",141381380,4060.0,81,81,3,2,1,22/03/2023
"Santiago, Santiago, Región Metropolitana",135000000,3876.748,75,75,5,1,1,22/03/2023
"Ñuñoa, Vendo lindo y moderno dpto 1d y único con 2baños - 1est - 1bod, gran ubicación",142774300,4100.0,55,55,1,2,1,22/03/2023
"Ñuñoa, Se vende dpto 1d-1b-est-bod gran ubicación a pasos de metro ñuble",104469000,3000.0,36,36,1,1,1,22/03/2023
"Independencia, Vendo excelente y luminoso departamento 3d 1b a pasos de mall independencia",73128300,2100.0,47,47,3,1,0,22/03/2023
"Quinta Normal, Se vende excelente y luminoso departamento 3 d - 1b, ideal para inversión",63000000,1809.149,47,47,3,1,0,22/03/2023
"Independencia, Se vende lindo dpto 2d 1b, ideal para inversión, independencia",85000000,2440.915,45,45,2,1,0,22/03/2023
"Independencia, Se vende departamento estudio ideal para inversión independencia",55716800,1600.0,25,25,1,1,0,22/03/2023
"Santiago, Vendo bello y amplio dpto 2d 2b est con espectacular vista 180° cercano a todo",169239780,4860.0,80,80,2,2,1,22/03/2023
"Quinta Normal, Vendo departamento 1d 1b excelente oportunidad, cercano a metro blanqueado",52234500,1500.0,31,31,1,1,0,22/03/2023
"Las Condes, Se vende bello y espacioso dpto 4d 3b 2 est y bod, excelente ubicación",362159200,10400.0,123,123,4,3,2,22/03/2023
"Las Condes, Las Condes, Mall Sport",250377370,7190.0,85,85,2,2,1,22/03/2023
"Las Condes, Departamento en corazón del barrio El Golf // Augusto Leguia",511898100,14700.0,180,180,4,4,0,22/03/2023
"Ñuñoa, Pascual Baburizza",355194600,10200.0,130,130,3,2,1,22/03/2023
"Vitacura, Avenida Vitacura",609054270,17490.0,280,280,4,4,4,22/03/2023
"Santiago, Amunátegui",118398200,3400.0,63,63,2,2,0,22/03/2023
"Ñuñoa, La Verbena con La Guiralda",285548600,8200.0,90,90,2,2,1,22/03/2023
"Santiago, a pasos del Metro Parque O'higgins",104469000,3000.0,34,34,1,1,2,22/03/2023
"Las Condes, Kennedy con Geronimo de Alderete",417876000,12000.0,155,155,3,3,2,22/03/2023
"Providencia, Dario Urzua",283424397,8139.0,76,76,2,2,631,22/03/2023
"Santiago, Curicó con San Isidro",90539800,2600.0,40,40,2,1,0,22/03/2023
"Santiago, Echaurren",79396440,2280.0,44,44,1,1,0,22/03/2023
"Santiago, entre calle lastarria y almeda frente cerro santa lucia",78000000,2239.899,46,46,1,1,0,22/03/2023
"Ñuñoa, Villa frei",250000000,7179.163,90,90,3,2,1,22/03/2023
"Lo Prado, Santa marta 132",55000000,1579.416,0,0,1,1,0,22/03/2023
